prompt,phrase
Ear ache,There is a sharp pain in my ear whenever I do this.
Stomach ache,I have an indigestion
Muscle pain,When I wake up in the morning I feel a soreness in my body
Head ache,Can't keep focus
Foot ache,i have a great pain in my foot like thrombing pain with relaxing my pain releif
Internal pain,I have a sharp pain in my abdomen.
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Knee pain,I feel like there is something swollen and inflamed at the back of my knee.
Heart hurts,My heart is beating fast and it scares me.
Blurry vision,It's hard to see things
Head ache,I have front head pain and when I get it the light bothers me.
Skin issue,Need to scratch my skin every minute
Injury from sports,"i was injured during football match, i was diagnosed with Cruciate ligament"
Stomach ache,I had a sharp pain in my stomach
Infected wound,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
Stomach ache,I have pain in my stomach
Shoulder pain,I can't stand with this horrible feeling in my shoulder
Shoulder pain,It hurts when I raise my arm up
Ear ache,I get an ear ache when it is cold
Injury from sports,I broke my ankle while doing rock climbing in the Carpathians.
Infected wound,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Cough,I have a lot of mucus when I cough.
Body feels weak,When I eat too much sugar my body gets weak and dizzy.
Hair falling out,My hair is falling when I am combing it.
Internal pain,My chest hurts when I smoke
Skin issue,I complain alot with skin allergy
Neck pain,My neck feels stiff
Feeling dizzy,"when i get up, i feel dizzy and fall down."
Feeling dizzy,Whenever I stand up I feel dizzy.
Internal pain,Chronic bowel Pain
Hard to breath,It feels like I can't take a deep breath
Hair falling out,I have a hair shortage
Hair falling out,my hair falling out
Cough,I'm suffering from sharp cough Accompanied by  phlegm
Blurry vision,My television and computer seem out of focus even though I have new glasses.
Hair falling out,I feel depressed when I see my hair falling out
Back pain,My back hurts so much I can't bend down to tie my shoelaces.
Feeling dizzy,"When I go to stand, my head starts swirling"
Feeling dizzy,My head gets dizzy when I try to get up.
Blurry vision,When I eat sugar I notice my vision blurs.
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Head ache,Can't keep focus
Joint pain,All my body is in a bad case and i need a good treatment
Stomach ache,I have an indigestion
Emotional pain,When I remember her I feel down
Shoulder pain,i have a strong shoulder pain
Skin issue,My skin is itchy and inflamed
Joint pain,My joints ache whenever it is cold
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Acne,My acne is really embarassing. It's so read.
Body feels weak,I have the impression of having no strength in my body
Muscle pain,My muscles in my lower back are aching.
Feeling dizzy,I feel like the room is spinning
Shoulder pain,"When I move on my shoulder, pain shoots down my arm"
Foot ache,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
Blurry vision,I have blurry vision after I used a wrong medicine.
Muscle pain,I need a kind of cream wich make my muscles more relaxed
Blurry vision,I tried to put my glasses to see more clear but cant find any change
Cough,The feeling of coughing increases in winter's reach
Infected wound,I think my wound is infected
Internal pain,I have general discomfort in my torso.
Foot ache,After an hard working day I have foot ache
Head ache,my head hurts me badly
Cough,I feel pain in my throat
Feeling cold,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
Knee pain,i feel pain in my knee
Ear ache,Hearing any loud sounds makes my ear aches
Injury from sports,i'm injured i can't play sports
Skin issue,When i get up i see my skin vague
Acne,I get clusters of whiteheads and blackheads on my back.
Infected wound,"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously."
Infected wound,My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.
Blurry vision,I noticed an important decrease in my vision when I try to look at things up close.
Back pain,I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.
Back pain,My back is hurting so much.
Blurry vision,I have a blurry vision after my head was hit yesterday.
Muscle pain,"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help."
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Knee pain,The knee feels like it rusted and I suddenly cannot bend it anymore.
Hair falling out,When I tried to take care if my hair I found that it is falling out
Acne,I have pimples on my back.
Body feels weak,I can't do anything I feel a weak in my body
Blurry vision,i can't ride my car at night because i have blurry vision.
Feeling cold,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.
Skin issue,i have issue with my skin
Infected wound,Surgical wound infections
Shoulder pain,I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.
Feeling cold,I feel cold and chills even though my clothes are heavy
Knee pain,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
Shoulder pain,My shoulder hurts me so much
Foot ache,I can't walk because i have a great foot ache
Body feels weak,"My body feels weak although I eat a lot, why?"
Injury from sports,"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back."
Feeling cold,I feel cold when the night comes
Body feels weak,"I hardly have enough stength to get up,"
Shoulder pain,My shoulder aches when I try to lift five pounds.
Blurry vision,Everything looks like beeing in a smoky area.
Open wound,I cut my foot at the pool and it breaks open every day when I walk on it.
Joint pain,The joints in my fingers are painful in the morning.
Ear ache,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
Feeling cold,I get chills and aches all over.
Ear ache,My ear is ringing.
Stomach ache,My stomach feels full and upset  and bloating after big meals.
Shoulder pain,"After playing tennis,  I had a powerful sensation close to my neck"
Muscle pain,When i'm doing sport I have pain under my skin
Feeling cold,I cannot get warm no matter how much I wrap up or how high I put the heating on
Neck pain,There's swelling in my neck and it hurts.
Head ache,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
Head ache,When I'm tired I feel my head heavy
Skin issue,I have a very rash sensation close to my arms
Hair falling out,There are lots of hairs on my pillow in the morning.
Open wound,My sore isn't healing well and it's been like this for two weeks.
Acne,Is pimples a skin disease?
Injury from sports,I was very active in sports but now my body is feeling pain.
Muscle pain,There is a sharp pain in my calve.
Joint pain,It hurts when I bent my arm
Open wound,"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious"
Head ache,I get terrible headaches every few months and when I get them my vision is affected.
Body feels weak,I don't have the energy to do the things that I used to
Stomach ache,When i eat i feel my stomach hurts
Internal pain,i feel pain in my body
Neck pain,i feel pain in my neck
Stomach ache,"My stomach aches when I eat hot food, why?"
Foot ache,I have a foot ache although I don't walk a lot.
Joint pain,I have a feeling like my whole body is complaining
Infected wound,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.
